,artist,track,track_id,popularity,year,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,duration_ms,time_signature
0,Roddy Ricch,The Box,spotify:track:0nbXyq5TXYPCO7pr3N8S4I,100,2019,0.896,0.586,10,-6.687,0,0.0559,0.104,0.0,0.79,0.642,116.971,audio_features,196653,4
1,Arizona Zervas,ROXANNE,spotify:track:696DnlkuDOXcMAnKlTgXXK,97,2019,0.621,0.601,6,-5.616,0,0.148,0.0522,0.0,0.46,0.457,116.735,audio_features,163636,5
2,Post Malone,Circles,spotify:track:21jGcNKet2qwijlDFuPiPb,95,2019,0.695,0.762,0,-3.497,1,0.0395,0.192,0.00244,0.0863,0.553,120.042,audio_features,215280,4
3,The Weeknd,Blinding Lights,spotify:track:0sf12qNH5qcw8qpgymFOqD,99,2019,0.513,0.796,1,-4.075,1,0.0629,0.00147,0.000209,0.0938,0.345,171.017,audio_features,201573,4
4,DaBaby,BOP,spotify:track:6Ozh9Ok6h4Oi1wUSLtBseN,91,2019,0.769,0.787,11,-3.909,1,0.367,0.189,0.0,0.129,0.836,126.77,audio_features,159715,4
5,Billie Eilish,everything i wanted,spotify:track:3ZCTVFBt2Brf31RLEnCkWJ,96,2019,0.704,0.225,6,-14.454,0,0.0994,0.902,0.657,0.106,0.243,120.006,audio_features,245426,4
6,YNW Melly,Suicidal,spotify:track:1iSqfoUFnQwV0QW1EfUit8,91,2019,0.736,0.369,9,-9.682,0,0.0688,0.334,0.0,0.126,0.235,140.005,audio_features,222997,4
7,Roddy Ricch,High Fashion (feat. Mustard),spotify:track:07KXEDMj78x68D884wgVEm,89,2019,0.831,0.499,11,-8.442,0,0.114,0.269,0.0,0.3,0.511,97.956,audio_features,220487,4
8,Dua Lipa,Don't Start Now,spotify:track:6WrI0LAC5M1Rw2MnX2ZvEg,97,2019,0.794,0.793,11,-4.521,0,0.0842,0.0125,0.0,0.0952,0.677,123.941,audio_features,183290,4
9,Juice WRLD,Bandit (with YoungBoy Never Broke Again),spotify:track:6Gg1gjgKi2AK4e0qzsR7sd,89,2019,0.474,0.631,5,-5.884,0,0.343,0.0687,0.0,0.132,0.425,180.051,audio_features,189323,4
